season,weeksofar,teamID,team,massey,normalizedMassey
2013,13,3,Baltimore Ravens,1.482837564,0.6295029959
2013,13,14,Indianapolis Colts,0.8751615423,0.5687353937
2013,13,24,Philadelphia Eagles,0.5826681947,0.539486059
2013,13,11,Detroit Lions,0.2420899948,0.505428239
2013,13,17,Miami Dolphins,0.003634544713,0.481582694
2013,13,21,New York Giants,-0.2500956039,0.4562096791
2013,13,27,Los Angeles Chargers,-0.5926844207,0.4219507974
2013,13,12,Green Bay Packers,-0.714256461,0.4097935934
2013,13,6,Chicago Bears,-0.7760132432,0.4036179152
2013,13,26,Los Angeles Rams,-0.8133675839,0.3998824811
2013,13,25,Pittsburgh Steelers,-1.085611644,0.3726580751
2013,13,31,Tennessee Titans,-1.633094334,0.3179098061
2013,13,23,Las Vegas Raiders,-1.67147417,0.3140718225
2013,13,2,Atlanta Falcons,-1.682551777,0.3129640618
2013,13,30,Tampa Bay Buccaneers,-1.979083396,0.2833108999
2013,13,13,Houston Texans,-2.392392557,0.2419799838
2013,13,4,Buffalo Bills,-2.524905812,0.2287286583
2013,13,8,Cleveland Browns,-2.644825119,0.2167367277
2013,13,18,Minnesota Vikings,-2.832890314,0.1979302081
2013,13,32,Washington Commanders,-2.883552409,0.1928639986
2013,13,22,New York Jets,-3.567604489,0.1244587906
2013,13,15,Jacksonville Jaguars,-4.812192395,0
2013,14,10,Denver Broncos,5.701309464,1
2013,14,29,Seattle Seahawks,4.541289163,0.8839979699
2013,14,20,New Orleans Saints,4.195787753,0.8494478289
2013,14,28,San Francisco 49ers,3.875957106,0.8174647642
2013,14,5,Carolina Panthers,3.335426473,0.7634117009
2013,14,16,Kansas City Chiefs,3.09733355,0.7396024086
2013,14,7,Cincinnati Bengals,2.208506115,0.6507196651
2013,14,19,New England Patriots,2.0232156,0.6321906136
2013,14,1,Arizona Cardinals,1.9750918,0.6273782336
2013,14,3,Baltimore Ravens,1.665002618,0.5963693154
2013,14,24,Philadelphia Eagles,1.121794447,0.5420484983
2013,14,9,Dallas Cowboys,0.9013598403,0.5200050376
2013,14,14,Indianapolis Colts,0.409961844,0.470865238
2013,14,17,Miami Dolphins,0.3609302802,0.4659620816
2013,14,6,Chicago Bears,0.02697190952,0.4325662446
